pair_id,sample_id,source_id,question,answer,label,generator,source,target_char_count,dataset_role
PAIR-000403,SAMPLE-002413,6451,"年化5.3,5万一年利息多少",若是试算理财产品收益率，持有到期收益率计算公式:本金*理财天数*年化收益率/365天，具体您也可查看产品说明书中的介绍，会有详细的计算说明。,0,human,finance,70,train
PAIR-000444,SAMPLE-002659,6690,急用钱借款，,你是北*人我可以借给你,0,human,finance,11,train
PAIR-000475,SAMPLE-002845,8308,我去北京朝阳区仲裁委仲裁公司了。当时递交仲裁申请书的时候，由于仲裁委快下班了一再催促，证据方面只暂时提供了劳动合同，不足以证明所有的赔偿申请。请问在仲裁流程中，仲裁委还会再让我提交一次证据吗？,您好，建议您联系下仲裁委，在开庭前交。,0,human,law,19,train
PAIR-000195,SAMPLE-001166,7741,包皮龟头炎的治疗手段是什么？ 男29岁，我发现我的龟头好像气了一些水泡，又红又肿，去医院检查说这是龟头炎，我也没干啥啊，咋就得这个病了，请问：包皮龟头炎的治疗方法是什么？,包皮龟头炎治疗需保持局部清洁，每日温水清洗并翻起包皮干燥。针对病因用药：细菌感染外用红霉素软膏，真菌感染用克霉唑乳膏，过敏需抗过敏治疗。若反复发作或包皮过长，建议炎症消退后行包皮环切术。治疗期间避免性生活，忌辛辣刺激食物，穿宽松透气内裤。具体情况需要结合检查结果和医生判断，不建议自行用药或延误就诊。,1,GPT-5,medicine,144,train
PAIR-000226,SAMPLE-001351,7872,右肺上叶切除术效果怎么样 有个朋友总是喊胸口痛，但是让他去医院又不去，请问右肺上叶切除术效果怎么样,可能是哮喘引起的，需要激素、β2-受体激动剂 、白三烯受体拮抗剂、茶碱、抗胆碱药物、抗IgE治疗、变应原特异性免疫疗法(SIT) 等治疗。，此外，支气管扩张患者在治疗期间，患者的饮食状况和护理也是很重要的，患者一定要补充维生素，预防上火，并且清淡饮食，以免造成不必要的伤害，希望上述的答案可以帮助到你，谢谢。,0,human,medicine,154,train
PAIR-000357,SAMPLE-002140,5802,宇宙神5型运载火箭一共成功了多少次？,共成功一百次。,1,DeepSeek,nlpcc_dbqa,8,train
PAIR-000979,SAMPLE-005872,6932,非深户公积金卡在微信办理了非深户离深销户提取要多久,非深户离深销户提取通常需3个工作日审核，资金到账约1至3个工作日。若账户封存满6个月且社保停缴，流程更快，总耗时一般不超过一周。办理前需确认公积金账户已封存，且社保停缴满6个月，否则审核可能延迟。微信提交后留意短信通知，若材料不全需补正，时间会相应延长。,1,DeepSeek,finance,101,train
PAIR-000772,SAMPLE-004628,6244,清华大学机械工程系主要的研究领域是什么？,清华大学机械工程系主要研究先进制造与机器人。如果信息不足，应结合具体背景。,1,GPT-5,nlpcc_dbqa,34,train
PAIR-000547,SAMPLE-003277,1405,我有一个计算机相关的问题，请用中文回答，什么是 内存,内存(Memory)是计算机的重要部件，也称内存储器和主存储器，它用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据。它是外存与CPU进行沟通的桥梁，计算机中所有程序的运行都在内存中进行，内存性能的强弱影响计算机整体发挥的水平。只要计算机开始运行，操作系统就会把需要运算的数据从内存调到CPU中进行运算，当运算完成，CPU将结果传送出来。 内存的运行决定计算机整体运行快慢。 内存条由内存芯片、电路板、金手指等部分组成。,0,human,baike,217,train
PAIR-000514,SAMPLE-003079,272,我有一个计算机相关的问题，请用中文回答，什么是 IE浏览器,"Internet Explorer（简称：IE）是微软公司推出的一款网页浏览器。原称Microsoft Internet Explorer（6版本以前）和Windows Internet Explorer（7、8、9、10、11版本）。在IE7以前，中文直译为“网络探路者”，但在IE7以后官方便直接俗称""IE浏览器""。 2015年3月微软确认将放弃IE品牌。转而在Windows 10上，用Microsoft Edge取代了Internet Explorer。2016年1月12日，微软公司宣布于这一天停止对Internet Explorer 8/9/10三个版本的技术支持，用户将不会再收到任何来自微软官方的IE安全更新；作为替代方案，微软建议用户升级到IE 11或者改用Microsoft Edge浏览器。 2022年6月15日21:00，微软停止支持Internet Explorer。浏览器的最新可用版本IE 11，转而只提供其当前的浏览器Microsoft Edge。12月，在微软系统推送的更新计划文档中明确表示，微软将于2023年2月14日关闭IE浏览器，取而代之的是Edge浏览器。",0,human,baike,500,train
