pair_id,sample_id,source_id,question,answer,label,generator,source,target_char_count,dataset_role
SYN-P001,SYN-H-001,SRC-001,雨后为什么会有泥土味？,雨停后路边常有一股泥土味，主要是土壤和植物表面的物质被雨水打湿后散发出来。风一吹，这种气味就更明显。,0,synthetic_human,百科,50,train
SYN-P001,SYN-A-001,SRC-001,雨后为什么会有泥土味？,雨后泥土味通常来自土壤微生物产生的挥发性物质。降雨会将这些微小颗粒带入空气中，使人闻到清新的泥土气息。,1,synthetic_ai,百科,51,train
SYN-P002,SYN-H-002,SRC-002,感冒时为什么要多喝水？,感冒时多喝水能让嗓子舒服一些，也能补充出汗和发热时消耗的水分。不过喝水只是辅助，症状重还是要看医生。,0,synthetic_human,医学,50,train
SYN-P002,SYN-A-002,SRC-002,感冒时为什么要多喝水？,感冒期间适量饮水有助于维持身体水分平衡，缓解咽喉干燥，并支持正常代谢。若出现高热或持续不适，应及时就医。,1,synthetic_ai,医学,52,train
SYN-P003,SYN-H-003,SRC-003,借书没有按时归还怎么办？,如果借了别人的书没按时还，先主动说明原因，再尽快归还。书有损坏的话，也应该商量赔偿或买一本新的。,0,synthetic_human,法律,48,train
SYN-P003,SYN-A-003,SRC-003,借书没有按时归还怎么办？,借阅物品未按约定时间归还时，应及时与对方沟通并履行归还义务。如造成损坏或遗失，可根据实际损失协商补偿。,1,synthetic_ai,法律,51,train
SYN-P004,SYN-H-004,SRC-004,为什么要记账？,记账可以知道钱花到哪里去了。哪怕只是简单记一下吃饭、交通和购物，也能帮助自己发现哪些开支可以减少。,0,synthetic_human,金融,49,train
SYN-P004,SYN-A-004,SRC-004,为什么要记账？,记账能够帮助个人了解收入与支出的结构，识别不必要消费，并为预算管理和储蓄计划提供依据，是基础的财务管理方法。,1,synthetic_ai,金融,54,train
SYN-P005,SYN-H-005,SRC-005,学习新技能时如何坚持？,刚开始学新东西不要安排太满，可以每天固定练一小段时间。遇到卡住的地方先拆小一点，慢慢就容易坚持。,0,synthetic_human,开放问答,48,train
SYN-P005,SYN-A-005,SRC-005,学习新技能时如何坚持？,坚持学习新技能可以从设定小目标开始，安排固定练习时间，并定期回顾进展。将任务拆分后，执行压力会明显降低。,1,synthetic_ai,开放问答,52,train
SYN-P006,SYN-H-006,SRC-006,朋友心情低落时怎么安慰？,朋友难过时，不一定要马上讲道理。可以先听他说完，陪他待一会儿，再问问他现在最需要什么帮助。,0,synthetic_human,心理,45,train
SYN-P006,SYN-A-006,SRC-006,朋友心情低落时怎么安慰？,安慰情绪低落的朋友时，应先表达理解并耐心倾听，避免急于评价。根据对方需要，可以提供陪伴、建议或实际帮助。,1,synthetic_ai,心理,52,train
SYN-P007,SYN-H-007,SRC-007,什么是知识问答系统？,知识问答系统就是让用户提问题，系统从已有资料里找答案。它常见于客服、搜索和学习工具里。,0,synthetic_human,知识问答,43,train
SYN-P007,SYN-A-007,SRC-007,什么是知识问答系统？,知识问答系统是一类根据用户问题检索、理解并生成答案的信息系统，通常结合知识库、文本检索和自然语言处理技术。,1,synthetic_ai,知识问答,53,train
SYN-P008,SYN-H-008,SRC-008,为什么植物需要阳光？,植物需要阳光来制造养分。阳光不足时，有些植物会长得细弱，叶子颜色也可能变淡。,0,synthetic_human,百科,38,train
SYN-P008,SYN-A-008,SRC-008,为什么植物需要阳光？,植物通过光合作用利用阳光、水和二氧化碳制造有机物。阳光是这一过程的重要能量来源，会影响植物生长状态。,1,synthetic_ai,百科,50,train
